epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.308,0.22292,1.81176,1.00814,0.45142,0.47871,0.53226,0.37769,0.593,2.22004,0.63305,0.000472227,0.000472227,0.000472227
2,496.66,0.1015,0.84327,0.91316,0.80668,0.77106,0.90102,0.86376,0.25851,1.08784,0.33686,0.000760745,0.000760745,0.000760745
3,718.536,0.10006,0.6856,0.90861,0.45249,0.52139,0.48401,0.41399,0.46543,3.18782,0.63689,0.000860636,0.000860636,0.000860636
4,936.578,0.08227,0.57937,0.90251,0.90989,0.83175,0.95982,0.94085,0.26688,0.62356,0.35002,0.000580174,0.000580174,0.000580174
5,1154.43,0.06094,0.48665,0.89743,0.98329,0.86493,0.97909,0.97468,0.25424,0.49023,0.35817,0.000297232,0.000297232,0.000297232
